Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK
Date,,,,,,
2025-01-13,5070.98779296875,5075.0,5075.0,5075.0,5075.0,224900
2025-01-14,6070.197265625,6075.0,6075.0,6075.0,6075.0,230700
2025-01-15,7269.2490234375,7275.0,7275.0,7275.0,7275.0,818300
2025-01-16,8718.1025390625,8725.0,8725.0,6675.0,8725.0,278371900
2025-01-17,10441.7392578125,10450.0,10450.0,9175.0,9200.0,111883800
2025-01-20,10441.7392578125,10450.0,11450.0,10250.0,10800.0,79325400
2025-01-21,9967.1142578125,9975.0,10675.0,9550.0,10600.0,58886300
2025-01-22,9417.548828125,9425.0,9925.0,9125.0,9800.0,39033500
2025-01-23,7544.03125,7550.0,9350.0,7550.0,9225.0,93551000
2025-01-24,8743.0830078125,8750.0,9050.0,7375.0,9050.0,63740100
2025-01-30,8243.478515625,8250.0,8900.0,8050.0,8900.0,13004700
2025-01-31,8018.65576171875,8025.0,8825.0,7975.0,8225.0,17964200
2025-02-03,7444.1103515625,7450.0,7700.0,6500.0,7600.0,35728600
2025-02-04,7843.79443359375,7850.0,8175.0,7650.0,7650.0,19050800
2025-02-05,8043.63623046875,8050.0,8300.0,7800.0,7950.0,17675100
2025-02-06,7693.9130859375,7700.0,8175.0,7575.0,8100.0,9657100
2025-02-07,7593.99169921875,7600.0,7800.0,7150.0,7300.0,7605000
2025-02-10,7469.0908203125,7475.0,7650.0,7175.0,7600.0,5564000
2025-02-11,6969.48583984375,6975.0,7600.0,6850.0,7500.0,7135700
2025-02-12,7419.13037109375,7425.0,7500.0,6825.0,7025.0,8490200
2025-02-13,7843.79443359375,7850.0,8075.0,7350.0,7475.0,13472000
2025-02-14,8143.55712890625,8150.0,8325.0,7925.0,7925.0,11026800
2025-02-17,8018.65576171875,8025.0,8475.0,7900.0,8225.0,12195100
2025-02-18,7893.7548828125,7900.0,8100.0,7775.0,8050.0,5952800
2025-02-19,7743.87353515625,7750.0,8075.0,7700.0,7950.0,7718700
2025-02-20,7194.30810546875,7200.0,7875.0,7175.0,7775.0,14032700
2025-02-21,7244.2685546875,7250.0,7400.0,7200.0,7300.0,8432500
2025-02-24,7194.30810546875,7200.0,7600.0,7125.0,7475.0,10000600
2025-02-25,7219.28857421875,7225.0,7300.0,6900.0,7225.0,10204200
2025-02-26,7019.4462890625,7025.0,7325.0,6925.0,7225.0,5368900
2025-02-27,7019.4462890625,7025.0,7150.0,6900.0,7050.0,3715400
2025-02-28,6744.6640625,6750.0,7025.0,6575.0,7000.0,5866400
2025-03-03,7344.189453125,7350.0,7350.0,6775.0,7000.0,9809100
2025-03-04,6819.6044921875,6825.0,7500.0,6525.0,7450.0,9269800
2025-03-05,6694.70361328125,6700.0,6950.0,6625.0,6825.0,3988900
2025-03-06,6844.5849609375,6850.0,6975.0,6675.0,6725.0,4597500
2025-03-07,6894.54541015625,6900.0,7125.0,6800.0,6925.0,5072800
2025-03-10,6744.6640625,6750.0,6975.0,6675.0,6950.0,2513700
2025-03-11,6719.68359375,6725.0,6900.0,6525.0,6700.0,4318900
2025-03-12,6519.841796875,6525.0,6725.0,6500.0,6700.0,3024300
2025-03-13,6220.0791015625,6225.0,6600.0,6075.0,6550.0,6066700
2025-03-14,6045.21728515625,6050.0,6325.0,5750.0,6225.0,8472500
2025-03-17,5695.494140625,5700.0,6100.0,5675.0,6000.0,4188200
2025-03-18,5120.94873046875,5125.0,5750.0,4560.0,5700.0,21629600
2025-03-19,5245.849609375,5250.0,5400.0,5125.0,5225.0,4451800
2025-03-20,5295.81005859375,5300.0,5600.0,5275.0,5300.0,5084500
2025-03-21,4996.04736328125,5000.0,5325.0,4950.0,5300.0,6739300
2025-03-24,4506.4345703125,4510.0,5025.0,4300.0,5000.0,12314700
2025-03-25,4496.4423828125,4500.0,4680.0,4390.0,4520.0,10797100
2025-03-26,5070.98779296875,5075.0,5125.0,4500.0,4530.0,9297400
2025-03-27,5945.29638671875,5950.0,6075.0,5450.0,5800.0,32394900
2025-04-08,5070.98779296875,5075.0,5350.0,5075.0,5075.0,16392800
2025-04-09,4986.05517578125,4990.0,5150.0,4750.0,5000.0,10219200
2025-04-10,5395.73095703125,5400.0,5775.0,5175.0,5600.0,12804100
2025-04-11,5345.7705078125,5350.0,5600.0,5150.0,5200.0,5905600
2025-04-14,5795.4150390625,5800.0,5925.0,5325.0,5350.0,6102600
2025-04-15,5695.494140625,5700.0,6050.0,5675.0,5850.0,6774300
2025-04-16,6344.97998046875,6350.0,6475.0,5750.0,5775.0,19942300
2025-04-17,6295.01953125,6300.0,6550.0,6225.0,6350.0,6706000
2025-04-21,6195.0986328125,6200.0,6525.0,6150.0,6400.0,5405500
2025-04-22,6394.9404296875,6400.0,6550.0,6175.0,6200.0,9223100
2025-04-23,7019.4462890625,7025.0,7050.0,6600.0,6600.0,19427800
2025-04-24,6794.62451171875,6800.0,7225.0,6725.0,7200.0,13087800
2025-04-25,6819.6044921875,6825.0,6925.0,6750.0,6875.0,2841700
2025-04-28,6794.62451171875,6800.0,6900.0,6600.0,6825.0,4664400
2025-04-29,6619.7626953125,6625.0,6900.0,6575.0,6875.0,4627200
2025-04-30,6694.70361328125,6700.0,6825.0,6600.0,6650.0,4422500
2025-05-02,7194.30810546875,7200.0,7650.0,6625.0,6700.0,24420800
2025-05-05,7344.189453125,7350.0,7375.0,7075.0,7200.0,8709500
2025-05-06,7269.2490234375,7275.0,7375.0,7150.0,7375.0,7323500
2025-05-07,7144.34765625,7150.0,7325.0,7075.0,7275.0,8316000
2025-05-08,6919.525390625,6925.0,7150.0,6900.0,7150.0,7918100
